Country,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020
South Sudan,2657907,2707000,2757000,2809000,2862000,2915000,3396000,4668000,5320000,4960000,5193000,6297000,7634000,9585000,12043000,14559000
Spain,26860806,28063000,29319000,30642000,32085000,33877000,35564000,37489000,38535000,39351000,39765000,40590000,43705000,46506000,48147000,50016000
Sri Lanka,6528773,7534000,8694000,9914000,11261000,12619000,13780000,15056000,15848000,16862000,17942000,19042000,20103000,21084000,22054000,22890000
Sudan,5660266,6468000,7391000,8447000,9653000,11031000,12708000,14784000,17507000,21130000,24517000,27068000,29884000,32997000,36109000,41131000
Suriname,181249,209000,241000,285000,337000,373000,363000,355000,395000,417000,428000,465000,504000,546000,580000,610000
Swaziland,247705,278000,312000,352000,400000,456000,521000,612000,722000,882000,1004000,1144000,1259000,1355000,1436000,1514000
Sweden,6775468,7015000,7263000,7481000,7734000,8043000,8193000,8311000,8357000,8601000,8878000,8925000,9083000,9433000,9802000,10203000
Switzerland,4425422,4695000,4981000,5363000,5944000,6268000,6404000,6386000,6568000,6844000,7165000,7278000,7449000,7770000,8122000,8404000
Syria,3103610,3496000,3938000,4531000,5323000,6253000,7398000,8740000,10479000,12534000,14487000,16515000,18615000,21766000,17065000,22347000
Taiwan,6716458,7982000,9486000,11210000,12978000,14599000,16123000,17849000,19338000,20279000,21291000,22185000,22728000,23127000,23416000,23604000
Tajikistan,1316093,1531000,1781000,2081000,2511000,2939000,3449000,3967000,4569000,5273000,5679000,6230000,6815000,7488000,8192000,8874000
United Republic of Tanzania,7018641,7935000,8971000,10260000,11871000,13807000,16148000,18654000,21485000,24805000,29065000,33194000,38487000,44289000,51046000,58553000
Thailand,17127826,20042000,23452000,27513000,32062000,37091000,42273000,47026000,51759000,56097000,59818000,62902000,65113000,66721000,67977000,68978000
Gambia,240990,272000,307000,352000,412000,485000,566000,653000,773000,952000,1162000,1357000,1548000,1756000,1968000,2174000
Togo,1057416,1172000,1299000,1456000,1648000,1965000,2267000,2626000,3130000,3721000,4203000,4992000,5715000,6588000,7553000,8609000
Tonga,38473,46000,55000,64000,75000,84000,90000,92000,95000,97000,98000,101000,104000,106000,107000,107000
Trinidad and Tobago,555741,633000,721000,842000,940000,956000,1007000,1091000,1190000,1256000,1265000,1252000,1237000,1229000,1223000,1209000
Tunisia,3217136,3518000,3847000,4150000,4566000,5099000,5704000,6444000,7364000,8208000,8947000,9508000,10013000,10526000,11038000,11495000
Turkey,18477485,21122000,24145000,28218000,31951000,35759000,40530000,45048000,50989000,56545000,61296000,65970000,70465000,74687000,79415000,82018000
Turkmenistan,1077170,1205000,1348000,1585000,1883000,2182000,2524000,2876000,3241000,3659000,4079000,4386000,4665000,4941000,5232000,5929000
Turks and Caicos Islands,6000,6000,6000,6000,6000,6000,7000,8000,10000,12000,15000,20000,28000,44000,51000,56000
Tuvalu,5000,5000,5000,6000,6000,6000,7000,8000,9000,10000,10000,11000,11000,11000,11000,12000
